NAME,DP05_0001E,DP02_0016E,DP02_0112E,DP03_0025E,Median Household Income,DP03_0119PE
"Thorne Bay city, Alaska",571,2.6,6,12.2,51354,11
"Skwentna CDP, Alaska",57,2.6,0,N,56458,20
"Talkeetna CDP, Alaska",946,3.24,33,19.2,59394,0
"Willow CDP, Alaska",2121,3.59,193,38.5,54620,11.7
"Anvik city, Alaska",91,3.44,10,2.9,35625,12.5
"Flat CDP, Alaska",0,-,0,-,-,-
"Holy Cross city, Alaska",202,3.77,18,2.8,33125,13.6
"Lowell Point CDP, Alaska",205,2.12,0,7,-,0
"Seward city, Alaska",2748,3.33,404,7.4,74397,6.9
"Sunrise CDP, Alaska",39,-,0,11.2,-,-
"Ugashik CDP, Alaska",11,2,0,N,-,0
"Noorvik city, Alaska",579,4.99,271,7.1,48750,26.7
"Red Devil CDP, Alaska",21,3.67,8,N,53750,0
"Chuathbaluk city, Alaska",109,3.5,19,4.5,38750,41.7
"Glacier View CDP, Alaska",228,2.57,13,22.1,67917,0
"Trapper Creek CDP, Alaska",389,3.03,12,30,33438,19
"Lake Minchumina CDP, Alaska",20,2,0,11.3,-,28.6
"Tatitlek CDP, Alaska",121,5.37,5,3.8,-,0
"Port Graham CDP, Alaska",189,3.24,38,4.6,29500,11.1
"Tazlina CDP, Alaska",300,4.27,49,15.3,62083,5
"Crown Point CDP, Alaska",96,3.73,0,19.7,58816,0
"Chignik city, Alaska",35,3.22,1,6.3,48750,0
"Naukati Bay CDP, Alaska",62,1.85,24,N,-,0
"Gulkana CDP, Alaska",13,1.75,0,N,-,0
"Anchorage municipality, Alaska",298225,3.27,47541,18.9,82271,5.2
"Point Baker CDP, Alaska",22,-,0,N,-,-
"St. Paul city, Alaska",480,3.93,114,7.6,63571,13.3
"Allakaket city, Alaska",186,3.09,45,11.9,27250,25.6
"Ridgeway CDP, Alaska",2195,3.26,75,19.8,96705,7
"Hooper Bay city, Alaska",1153,5.41,692,5.8,30972,42.3
"King Cove city, Alaska",1003,3.03,398,4.9,66923,19.3
"Happy Valley CDP, Alaska",624,2.78,27,31.8,39926,14.1
"Slana CDP, Alaska",0,-,0,-,-,-
"Deltana CDP, Alaska",2635,3.72,810,14.8,83500,4.7
"Two Rivers CDP, Alaska",461,3,0,22.7,62448,0
"Nenana city, Alaska",368,3.46,8,21.7,38750,6.2
"Selawik city, Alaska",813,4.99,291,6.9,35625,42.3
"Sleetmute CDP, Alaska",85,3.47,20,7.2,46250,21.1
"Birch Creek CDP, Alaska",1,-,0,-,-,-
"Adak city, Alaska",130,6.88,36,6.1,76250,25
"Nunam Iqua city, Alaska",134,4.13,41,3.4,38750,36.7
"Gustavus city, Alaska",386,2.72,3,11.5,61875,0
"Haines CDP, Alaska",1837,2.88,189,6,76506,2.1
"Clark's Point city, Alaska",53,5,12,N,-,37.5
"Skagway CDP, Alaska",996,2.65,106,5.7,70000,3.7
"Wrangell city and borough, Alaska",2475,2.68,130,9.4,56094,8.4
"Mertarvik CDP, Alaska",0,-,0,-,-,-
"Susitna North CDP, Alaska",908,2.83,66,27.9,44211,11.2
"Eureka Roadhouse CDP, Alaska",0,-,0,-,-,-
"Nabesna CDP, Alaska",0,-,0,-,-,-
"Point Possession CDP, Alaska",0,-,0,-,-,-
"Edna Bay city, Alaska",28,4.6,0,N,-,100
"Denali Park CDP, Alaska",834,1.76,202,13.9,51250,0
"Whitestone CDP, Alaska",113,-,17,7.5,-,-
"Loring CDP, Alaska",0,-,0,-,-,-
"Goldstream CDP, Alaska",3987,3.15,260,25.6,84293,0
"Chena Ridge CDP, Alaska",6155,3.18,325,19.9,97464,3.5
"Farmers Loop CDP, Alaska",5092,2.96,263,18,78917,5.5
"Badger CDP, Alaska",19039,3.16,879,25.3,82734,3.5
"South Van Horn CDP, Alaska",496,2.96,81,23.3,72548,12.6
"Steele Creek CDP, Alaska",7571,3.4,475,21.4,86613,1
"Kachemak city, Alaska",504,2.69,38,14.5,82813,0.7
"Petersburg CDP, Alaska",3087,3.22,549,7.5,64201,7.1
"Pisinemo CDP, Arizona",356,5.18,151,28.1,32857,55.4
"Whiteriver CDP, Arizona",4198,4.94,1908,17.7,24506,41.3
"Catalina CDP, Arizona",7751,3.07,1004,30.9,50548,6.6
"Green Valley CDP, Arizona",21912,2.08,1384,21.3,47583,4.1
"Tucson city, Arizona",530905,3.15,167823,22.2,39617,17.7
"Valencia West CDP, Arizona",11468,3.6,4492,36.1,58550,9.4
"Fortuna Foothills CDP, Arizona",28200,2.6,4486,21.5,49139,8.6
"Casa Grande city, Arizona",52501,3.46,12003,22.6,46357,14.7
"Ganado CDP, Arizona",1035,6.03,701,28.4,34688,25.2
"Rough Rock CDP, Arizona",585,5.83,426,19.3,32500,30.2
"Springerville town, Arizona",1751,3.63,362,12.9,38333,27
"Tsaile CDP, Arizona",1308,4.69,683,20.6,31429,38.7
"Naco CDP, Arizona",833,3.69,618,28.4,31691,33.9
"St. David CDP, Arizona",1667,3.72,58,19.8,57422,12.5
"Bagdad CDP, Arizona",1737,3.71,151,10.5,88676,0
"Clarkdale town, Arizona",4197,2.31,581,23.8,45901,6.2
"Peeples Valley CDP, Arizona",474,2.28,28,48.7,40972,19.2
"Prescott city, Arizona",41468,2.62,2977,18,50812,7.4
"Spring Valley CDP, Arizona",1404,2.9,7,34.7,31750,23.3
"Cibecue CDP, Arizona",2218,5.29,1231,30.5,17813,57.1
"Jeddito CDP, Arizona",326,4.21,204,33.5,20288,52.1
"Keams Canyon CDP, Arizona",262,3.54,117,N,-,44.6
"Pinetop-Lakeside town, Arizona",4299,2.68,419,14.9,61444,10
"Pinon CDP, Arizona",830,4.29,501,18.3,40250,19.9
"South Tucson city, Arizona",5624,3.54,3207,23.9,21160,36
"Winslow West CDP, Arizona",757,3.99,130,16.3,23950,48.4
"Casas Adobes CDP, Arizona",68919,2.98,12605,23,60247,6.5
"Ak-Chin Village CDP, Arizona",1101,4.63,305,14,21389,37.6
"Blackwater CDP, Arizona",1653,3.81,367,28.1,20993,37.8
"Dudleyville CDP, Arizona",568,4.17,308,21.5,55066,19.5
"Stanfield CDP, Arizona",405,3.35,174,N,18571,29.3
"Superior town, Arizona",2954,3.56,1190,24.1,36705,8
"Duncan town, Arizona",739,2.89,119,34.4,45341,18.7
"Morenci CDP, Arizona",1689,3.67,374,9.1,62096,5.4
"Fort Defiance CDP, Arizona",4118,4.99,1766,18.7,31603,30.9
"Pirtleville CDP, Arizona",1838,3.08,1649,18.1,21818,29.4
"Eloy city, Arizona",17537,3.71,7952,23.3,34040,28.3
"Nogales city, Arizona",20233,3.72,16720,18.7,28264,27.1
"Sonoita CDP, Arizona",850,2.47,98,30.9,74063,7.7
"Arizona City CDP, Arizona",11030,3.33,1956,27.7,42853,15.1
"Hayden town, Arizona",483,2.67,305,15,35750,23.9
"Second Mesa CDP, Arizona",1695,5.35,1208,22.9,35917,24.2
"Three Points CDP, Arizona",5453,3.31,1663,50.1,36419,19.1
"Tucson Estates CDP, Arizona",12047,2.79,2127,32.4,46139,11.9
"Dennehotso CDP, Arizona",792,5.16,631,29,22768,25.5
"Houck CDP, Arizona",1030,5.28,549,34.8,21118,39.7
"Many Farms CDP, Arizona",1322,4.68,629,28.3,39904,19.3
"Nazlini CDP, Arizona",469,6.67,287,31.1,-,57.4
"Rock Point CDP, Arizona",484,5.17,382,38.2,18125,50
"Benson city, Arizona",4916,2.55,644,20.7,31844,22.6
"Douglas city, Arizona",16576,3.38,10323,15.6,30986,29.8
"Huachuca City town, Arizona",2348,3.29,579,20.2,35100,33.6
"Black Canyon City CDP, Arizona",2892,2.77,107,31.7,38150,16.1
"Camp Verde town, Arizona",11091,3.2,1152,22.8,40465,20.1
"Cornville CDP, Arizona",3167,2.84,252,40,60455,2.2
"Lake Montezuma CDP, Arizona",5013,2.72,332,28.2,38422,13.6
"Coolidge city, Arizona",12221,3.91,2804,24.9,40718,19.3
"Florence town, Arizona",26066,3.08,8884,23.5,47188,9.3
"Top-of-the-World CDP, Arizona",325,3.1,42,N,-,12.9
"Kykotsmovi Village CDP, Arizona",791,4.56,549,26.2,43750,19.1
"Winslow city, Arizona",9517,3.73,3078,11.7,36647,27.3
"Ajo CDP, Arizona",3525,3.14,1126,19.5,33178,21.7
"Marana town, Arizona",41720,3.08,6950,29.8,81041,5.1
"Tacna CDP, Arizona",742,3.06,298,20.1,32917,12.6
"Window Rock CDP, Arizona",3282,4.54,1840,19.3,37107,29.5
"Sierra Vista city, Arizona",43585,2.92,8644,17.9,58839,11.2
"Ash Fork CDP, Arizona",824,3.33,305,27.9,26160,41.2
"Yuma city, Arizona",93851,3.19,40794,15.7,46151,14.9
"Tumacacori-Carmen CDP, Arizona",281,2.87,54,N,31198,0
"Arizona Village CDP, Arizona",1129,3.48,99,17.8,29438,27.6
"Colorado City town, Arizona",4809,8.96,0,20.8,31989,49.3
"Kaibab CDP, Arizona",162,2.75,16,7.3,26875,25
"Cameron CDP, Arizona",1178,4.38,742,30.6,35625,30.6
"Amado CDP, Arizona",104,1.86,10,N,-,0
"Chilchinbito CDP, Arizona",887,4.59,712,37.7,17688,57
"Heber-Overgaard CDP, Arizona",2408,2.8,268,19.2,35600,17.5
"McNary CDP, Arizona",673,5.45,217,20.3,28500,43.1
"Drexel Heights CDP, Arizona",28187,3.41,11746,27.7,50327,15.8
"Picture Rocks CDP, Arizona",8666,2.92,850,39.8,52600,9.1
"Summit CDP, Arizona",5349,3.68,3941,22.8,36563,28.3
"Chuichu CDP, Arizona",414,6,235,N,32171,26.1
"Kearny town, Arizona",2249,3.7,479,20,54079,12.1
"Burnside CDP, Arizona",629,4.82,404,17.9,24107,34.5
"Chinle CDP, Arizona",5698,5.54,2352,18.8,30368,42.7
"Round Rock CDP, Arizona",725,5.69,563,42.9,28375,30.8
"Sedona city, Arizona",10246,2.5,1321,16.4,58417,7.6
"Chino Valley town, Arizona",11155,2.93,1119,26.7,49012,8.8
"Paulden CDP, Arizona",5064,2.99,437,33.8,47123,10.7
"Prescott Valley town, Arizona",41995,2.93,5797,20.7,45684,9.9
"Yarnell CDP, Arizona",658,2.21,67,29.2,33750,14.6
"Clifton town, Arizona",3638,3.55,851,13.9,58684,5.8
"Dolan Springs CDP, Arizona",2479,3.17,284,36,19916,42.5
"San Luis city, Arizona",31509,3.87,26376,28.6,33767,24.8
"Wellton town, Arizona",2950,2.59,1170,36.3,47839,16.5
"Elgin CDP, Arizona",112,1.98,0,21.1,-,26.1
"Patagonia town, Arizona",848,3.19,216,15.2,28594,23.7
"Tubac CDP, Arizona",1365,2.14,351,19.6,52333,8.5
"Dilkon CDP, Arizona",1320,4.48,743,43.9,34615,34.4
"First Mesa CDP, Arizona",1928,5.51,683,21.2,22353,41.9
"Oljato-Monument Valley CDP, Arizona",202,6.65,155,26.5,20833,50
"Shongopovi CDP, Arizona",1067,5.98,639,16.6,36917,44.7
"Avra Valley CDP, Arizona",5227,3.1,892,43.5,45313,14.2
"Flowing Wells CDP, Arizona",14972,3.19,5604,22.1,34519,18.9
"Sells CDP, Arizona",2688,5,782,12.9,31806,40.8
"Mammoth town, Arizona",1582,3.7,662,31.9,38500,14.5
"Oracle CDP, Arizona",3729,3.04,1111,34.7,41602,5.1
"Queen Valley CDP, Arizona",654,1.99,26,N,46622,0
"Sacaton CDP, Arizona",2338,3.87,454,22.5,17070,26.3
"Teec Nos Pos CDP, Arizona",711,4.81,481,37.2,31442,33.1
"Sawmill CDP, Arizona",706,6.45,346,41,20250,53.5
"Steamboat CDP, Arizona",299,5.07,218,35,14417,50
"Bisbee city, Arizona",5261,2.64,1415,20.4,35045,23.4
"Tombstone city, Arizona",1459,2.56,138,16.6,33504,13.6
"Willcox city, Arizona",3557,3.18,1613,16.5,41250,25.3
"Desert Hills CDP, Arizona",2838,2.68,143,19.5,42667,16.2
"Lake Havasu City city, Arizona",53463,2.72,5203,20.8,47424,7.2
"Jerome town, Arizona",432,2.56,66,21.5,48125,0
"Mayer CDP, Arizona",1948,3.69,126,35.7,48494,13.3
"Tonalea CDP, Arizona",335,4.55,237,N,25341,32.3
"Peridot CDP, Arizona",1648,5.84,445,15.3,35750,29.7
"Rio Verde CDP, Arizona",2028,2.02,121,27.7,76452,1.5
"Scottsdale city, Arizona",239283,2.84,29569,22.1,80306,5.8
"Sun City CDP, Arizona",39000,2.21,1884,24.8,37708,5.3
"Youngtown town, Arizona",6625,3.54,1217,28.7,40385,16.8
"Poston CDP, Arizona",312,5.68,198,12.4,21250,25
"Salome CDP, Arizona",1296,2.26,346,15.4,42155,7.6
"Bullhead City city, Arizona",39824,2.89,7170,19,38983,12.2
"Golden Valley CDP, Arizona",8694,2.89,303,29,33664,12.6
"San Carlos CDP, Arizona",4395,4.61,1375,24.3,27617,46.9
"Swift Trail Junction CDP, Arizona",3304,3.51,912,26.1,51023,9.9
"Avondale city, Arizona",81590,3.66,28225,28.1,56585,12.8
"Tempe city, Arizona",178339,3.14,42944,20.9,51829,11.7
"Tolleson city, Arizona",7052,3.53,4457,23.4,40846,20
"Parks CDP, Arizona",1652,2.43,63,30.6,69125,2.2
"Congress CDP, Arizona",1454,2.68,150,27.6,39853,8.4
"Wilhoit CDP, Arizona",870,2.64,126,38.2,33219,6.6
"Tonto Basin CDP, Arizona",1601,2.5,11,30.2,28026,11.8
"Munds Park CDP, Arizona",726,1.99,0,17.9,-,9.9
"Cibola CDP, Arizona",414,3.65,171,22.8,39301,0
"Young CDP, Arizona",421,2.33,55,22,34000,0
"Central Heights-Midland City CDP, Arizona",2752,2.55,344,18.8,42566,13.4
"Miami town, Arizona",2238,3.49,604,18.4,28984,24.1
"Pine CDP, Arizona",1591,2.33,166,23.7,55714,0
"Ehrenberg CDP, Arizona",844,2.52,155,13.3,29605,0
"Thatcher town, Arizona",4982,3.31,628,17.9,51694,12
"Carefree town, Arizona",3657,2.25,170,26.7,95992,8.3
"Paradise Valley town, Arizona",13961,3.01,1481,23.1,175673,4.9
"Surprise city, Arizona",129534,3.18,18100,30.3,62927,6.5
"Grand Canyon Village CDP, Arizona",1438,2.03,285,10.2,33090,0
"Kaibito CDP, Arizona",1712,4.9,859,33.1,51023,32.3
"Moenkopi CDP, Arizona",1273,3.65,826,15.3,44792,27.5
"Supai CDP, Arizona",0,-,0,-,-,-
"Tuba City CDP, Arizona",9022,4.17,4596,16.3,48293,26.2
"Gisela CDP, Arizona",642,4.63,19,37.4,43382,36.4
"Fountain Hills town, Arizona",24047,2.56,1660,26,76729,3.5
"New River CDP, Arizona",14847,2.93,1057,33.3,74237,3.6
"Sun City West CDP, Arizona",25085,2.08,1054,23.9,46067,3.6
"Sun Lakes CDP, Arizona",14800,2.09,789,27.9,54124,3.7
"Litchfield Park city, Arizona",5686,2.99,564,32.1,77917,6
"Red Mesa CDP, Arizona",367,4.32,205,15.8,53000,16.2
"St. Johns city, Arizona",3502,3.62,436,11.9,47857,18.1
"Goodyear city, Arizona",74953,3.36,15023,29,77930,6.8
"Guadalupe town, Arizona",6270,4.52,3663,20.8,28491,31.4
"Williamson CDP, Arizona",5108,2.4,191,23,62306,3.5
"Canyon Day CDP, Arizona",1293,4.89,620,18.4,22279,44.3
"East Fork CDP, Arizona",699,5.49,339,15.2,16902,45.5
"Parker town, Arizona",3074,3.74,571,10.6,49107,13.9
"Parker Strip CDP, Arizona",652,2.19,26,16.4,66042,1.8
"Gadsden CDP, Arizona",502,2.98,443,31.3,31105,31.5
"Taylor town, Arizona",4120,3.23,555,22.7,44868,7.7
"Greasewood CDP, Arizona",502,4.29,330,37.5,28906,34.6
"Holbrook city, Arizona",5005,3.74,1124,14.9,44348,16.4
"Shonto CDP, Arizona",543,5.51,353,13.6,40625,14.3
"Catalina Foothills CDP, Arizona",50202,2.75,7490,23,82252,4.1
"Littletown CDP, Arizona",610,3.79,211,21,56250,14.4
"Winkelman town, Arizona",262,3.37,160,19.6,42125,6.7
"Oro Valley town, Arizona",42889,2.75,5062,28.5,79458,3.9
"Sahuarita town, Arizona",28257,3.21,6197,27.5,73174,5.3
"Santa Rosa CDP, Arizona",390,3.22,168,16.6,26625,40.4
"Lukachukai CDP, Arizona",1660,5.29,1267,35.4,30602,31.5
"St. Michaels CDP, Arizona",1245,4.81,819,21.4,41944,16.3
"Hotevilla-Bacavi CDP, Arizona",1250,4.72,777,17.3,41667,19
"Snowflake town, Arizona",5668,3.93,335,22.3,49813,8.3
"Quartzsite town, Arizona",3669,2,191,5.6,31250,3.9
"Kingman city, Arizona",28855,3.01,2117,16.7,44092,12.3
"Mesquite Creek CDP, Arizona",470,2.37,47,21.2,42604,1.2
"New Kingman-Butler CDP, Arizona",13060,3.03,901,17.3,31923,23.4
"Globe city, Arizona",7341,2.78,1197,13.9,44821,17.8
"Apache Junction city, Arizona",38452,2.93,4423,26.6,39119,14.8
"Cave Creek town, Arizona",5423,2.59,263,28.3,91500,4
"Peoria city, Arizona",161383,3.31,21689,28.1,69589,5.7
"Queen Creek town, Arizona",33298,3.76,2801,33.1,92917,7.1
"Fredonia town, Arizona",1236,3.25,120,16.1,37898,21
"Page city, Arizona",7515,3.59,1510,10.7,60135,16.3
"Willow Valley CDP, Arizona",869,2.36,28,19.7,35100,8.6
"Seligman CDP, Arizona",471,2.79,30,23.1,-,12.2
"Cordes Lakes CDP, Arizona",2328,2.51,202,40.5,30599,10.7
"Cottonwood city, Arizona",11634,2.78,2050,23.1,32746,17.8
"Claypool CDP, Arizona",1428,2.89,314,11.7,39688,12.6
"Payson town, Arizona",15338,2.58,912,18.1,46602,7.1
"Bluewater CDP, Arizona",875,2.58,42,14.6,38125,14
"Wenden CDP, Arizona",360,2.82,128,14.2,24236,14.7
"Chandler city, Arizona",245160,3.38,54503,24,77278,6.4
"El Mirage city, Arizona",34400,3.77,10456,28.6,51915,14.5
"Glendale city, Arizona",241543,3.56,73369,27.6,49383,15.9
"Mesa city, Arizona",479317,3.33,95148,24.8,52155,12
"Wickenburg town, Arizona",6906,2.74,874,19.8,42752,4.9
"Flagstaff city, Arizona",69903,3.04,10884,15.7,51758,10.4
"Bitter Springs CDP, Arizona",417,4.01,248,36.7,18365,55.1
"Kachina Village CDP, Arizona",3013,2.72,362,24.2,62674,11
"Phoenix city, Arizona",1574421,3.58,542524,25.4,52080,16.3
"Pima town, Arizona",2495,3.73,322,24.6,40319,28.3
"Mountainaire CDP, Arizona",993,2.68,123,18.4,57905,2.6
"Gilbert town, Arizona",232176,3.54,28339,27.7,87566,4.4
"Bouse CDP, Arizona",927,2.56,5,18.5,50259,0
"Williams city, Arizona",3114,3,447,19,47857,21.4
"Strawberry CDP, Arizona",714,2.11,87,22.4,48885,10.6
"Safford city, Arizona",9662,3.54,1528,14.8,48795,12.7
"Peach Springs CDP, Arizona",1228,4.1,449,33,35703,34.3
"Show Low city, Arizona",10860,3.08,1591,16.5,44693,20.1
"East Globe CDP, Arizona",258,3.17,124,22.2,105781,0
"Village of Oak Creek (Big Park) CDP, Arizona",6436,2.42,745,28,53735,2.2
"Icehouse Canyon CDP, Arizona",453,2.43,78,21.6,31799,9.7
"Arivaca Junction CDP, Arizona",1187,4.36,687,29.5,39844,24.7
"Haivana Nakya CDP, Arizona",143,3.56,61,N,8750,78.1
"Chiawuli Tak CDP, Arizona",0,-,0,-,-,-
"Pimaco Two CDP, Arizona",669,2.81,59,38.6,34153,4.8
"San Miguel CDP, Arizona",297,5.12,63,-,-,39.7
"South Komelik CDP, Arizona",308,5.71,90,27.8,44583,67.3
"Ventana CDP, Arizona",87,6.73,14,-,"2,500-",100
"Wahak Hotrontk CDP, Arizona",122,10,17,N,-,0
"Rillito CDP, Arizona",51,2,0,N,-,0
"Seven Mile CDP, Arizona",748,4.76,347,23.8,-,46.5
"Verde Village CDP, Arizona",12584,3.06,1716,23.4,49016,12.4
"Picacho CDP, Arizona",427,3.18,186,19.2,33750,21.2
"Kohatk CDP, Arizona",20,-,20,-,-,-
"Tat Momoli CDP, Arizona",54,3.86,0,-,-,100
"Vicksburg CDP, Arizona",963,2.68,326,11.8,39803,7.9
"San Manuel CDP, Arizona",3714,3.48,726,50.3,41583,17.5
"Vail CDP, Arizona",11735,3.19,1437,30.2,76974,8.9
"Mohave Valley CDP, Arizona",2984,3.29,486,23.3,42045,26.6
"Gila Bend town, Arizona",1882,3.53,956,12.1,29771,33
"Mojave Ranch Estates CDP, Arizona",21,2.5,2,N,-,33.3
"Leupp CDP, Arizona",1295,4.87,767,42,51513,9.6
"Kayenta CDP, Arizona",4630,4.55,3515,23.4,34009,39.7
"Somerton city, Arizona",15508,3.65,12646,24.1,37252,27.2
"Sierra Vista Southeast CDP, Arizona",15591,2.77,2364,23.8,62837,9
"Corona de Tucson CDP, Arizona",7583,3.41,1117,36,93017,1.3
"Tanque Verde CDP, Arizona",16197,2.75,1433,30,94167,2.7
"Eagar town, Arizona",4894,3.94,569,16.3,57931,6.1
"LeChee CDP, Arizona",1527,4.99,675,21.9,60000,13.8
"Maricopa city, Arizona",46248,3.73,7782,35,68908,6.1
"Dewey-Humboldt town, Arizona",3993,3.01,403,28.3,55579,9.2
"Star Valley town, Arizona",1816,3.03,15,20.4,26045,13.6
"Drysdale CDP, Arizona",449,3.3,332,21.9,26458,46.3
"Martinez Lake CDP, Arizona",81,2.03,0,N,-,0
"Alpine CDP, Arizona",86,2.38,7,N,-,0
"Concho CDP, Arizona",146,14.6,38,-,-,0
"Cornfields CDP, Arizona",373,6.77,211,55.6,41563,37.5
"Cottonwood CDP, Arizona",201,4.17,134,15.9,31250,23.8
"Del Muerto CDP, Arizona",341,4.66,235,N,18281,39.3
"Greer CDP, Arizona",40,2,0,-,-,0
"Lupton CDP, Arizona",19,8,8,N,-,0
"Nutrioso CDP, Arizona",59,2.05,20,N,-,0
"Oak Springs CDP, Arizona",84,6.31,53,N,39375,15.4
"Sanders CDP, Arizona",541,5.55,216,N,20357,34.4
"Sehili CDP, Arizona",107,4.89,102,N,-,47.4
"Toyei CDP, Arizona",0,-,0,-,-,-
"Vernon CDP, Arizona",38,3,0,N,-,0
"Wide Ruins CDP, Arizona",84,-,42,-,-,-
"Klagetoh CDP, Arizona",203,5.53,141,53.4,20000,56.3
"Wall Lane CDP, Arizona",365,3.35,333,34.6,28214,26.7
"Wellton Hills CDP, Arizona",386,3.67,208,18.5,90609,3.8
"Padre Ranchitos CDP, Arizona",253,4.67,191,30.8,50000,81.4
"Orange Grove Mobile Manor CDP, Arizona",629,3.6,564,33,18304,69.2
"Rancho Mesa Verde CDP, Arizona",909,3.46,817,17.3,27676,54
"El Prado Estates CDP, Arizona",665,3.42,559,22.7,51364,12.1
"Flowing Springs CDP, Arizona",44,4,0,N,-,0
"Mead Ranch CDP, Arizona",0,-,0,-,-,-
"Geronimo Estates CDP, Arizona",92,4.84,0,N,-,0
"East Verde Estates CDP, Arizona",167,2.04,12,N,57222,17.6
"Mesa del Caballo CDP, Arizona",569,2.96,25,18.7,33512,9
"Washington Park CDP, Arizona",137,2.69,0,N,48523,0
"Whispering Pines CDP, Arizona",106,3.21,0,N,36035,50
"Tonto Village CDP, Arizona",368,2.9,33,29.3,35375,0
"Donovan Estates CDP, Arizona",1373,3.79,963,18.3,37232,17.1
"Avenue B and C CDP, Arizona",3444,3.75,2478,19.9,27739,30.4
"Oxbow Estates CDP, Arizona",197,2.28,12,14.6,32679,29.2
"Wheatfields CDP, Arizona",466,3.86,17,N,26429,0
"Rye CDP, Arizona",108,2.54,0,N,21000,0
"Round Valley CDP, Arizona",832,3.74,47,20.9,-,53.4
"Hunter Creek CDP, Arizona",19,-,0,-,-,-
"Kohls Ranch CDP, Arizona",106,1.86,0,-,-,0
"Christopher Creek CDP, Arizona",86,2.25,0,N,36974,0
"Roosevelt CDP, Arizona",60,2,8,4.1,-,0
"Jakes Corner CDP, Arizona",32,-,0,N,28333,-
"Deer Creek CDP, Arizona",185,3.37,8,27.9,-,0
"Valle Vista CDP, Arizona",1959,2.26,124,28.5,55000,11.2
"Grand Canyon West CDP, Arizona",0,-,0,-,-,-
"Crozier CDP, Arizona",25,1.89,1,N,38750,0
"Antares CDP, Arizona",147,3.04,4,N,40833,20
"Fort Mohave CDP, Arizona",14583,2.71,1503,18.9,44041,6.2
"Gila Crossing CDP, Arizona",810,5.1,226,22.1,45000,29.2
"St. Johns CDP, Arizona",772,5.52,122,21,45795,37.1
"Anegam CDP, Arizona",86,3.46,61,N,-,45.8
"Charco CDP, Arizona",12,-,6,N,-,-
"Tees Toh CDP, Arizona",529,4.91,367,41.9,29219,42.4
"Whitecone CDP, Arizona",847,3.96,542,45,14946,51.3
"Low Mountain CDP, Arizona",623,4.24,462,27.6,36563,31.1
"Hard Rock CDP, Arizona",85,4.87,57,N,28500,40
"Turkey Creek CDP, Arizona",489,5.67,205,24.1,46563,14.7
"Fort Apache CDP, Arizona",186,4.13,48,11,74250,12.5
"Rainbow City CDP, Arizona",1114,4.48,584,14.5,28810,34.3
"Pinetop Country Club CDP, Arizona",1677,2.99,93,18.8,66439,1.9
"Cowlic CDP, Arizona",189,3.43,27,N,-,81.6
"Topawa CDP, Arizona",143,2.65,97,N,-,27.9
"Comobabi CDP, Arizona",43,4.78,0,N,-,0
"Maish Vaya CDP, Arizona",188,4.39,52,46.3,-,33.3
"Gu Oidak CDP, Arizona",98,3.77,18,N,-,30.8
"Rincon Valley CDP, Arizona",6151,3.35,587,33.1,109250,3.1
"Summerhaven CDP, Arizona",189,4.62,0,N,78819,0
"Arivaca CDP, Arizona",627,2.05,49,N,27143,7.9
"Copper Hill CDP, Arizona",0,-,0,-,-,-
"Dripping Springs CDP, Arizona",165,2.8,57,32.3,31750,0
"El Capitan CDP, Arizona",121,3.63,8,19.4,77639,0
"Rock House CDP, Arizona",61,2.05,7,-,24250,0
"Haigler Creek CDP, Arizona",29,2,0,-,-,0
"Cutter CDP, Arizona",0,-,0,-,-,-
"Pinal CDP, Arizona",660,4.51,79,10.7,-,20
"Brenda CDP, Arizona",392,2.32,6,N,39653,7.7
"Utting CDP, Arizona",83,2,0,-,31167,27.8
"La Paz Valley CDP, Arizona",497,2.16,0,N,31123,0
"Cienega Springs CDP, Arizona",1926,3.02,173,14.1,28750,22.2
"Alamo Lake CDP, Arizona",3,-,0,N,-,-
"Sunwest CDP, Arizona",22,2.43,7,-,-,0
"Carrizo CDP, Arizona",191,4.87,65,N,21458,76.3
"Cedar Creek CDP, Arizona",605,5.25,275,28,22237,42.7
"Six Shooter Canyon CDP, Arizona",963,2.95,171,18.8,54886,19
"Bear Flat CDP, Arizona",0,-,0,-,-,-
"Beaver Valley CDP, Arizona",166,2.19,10,N,-,0
"Freedom Acres CDP, Arizona",113,2.46,0,N,98250,19.6
"Dateland CDP, Arizona",356,2.79,156,18.8,36250,10.4
"Aztec CDP, Arizona",0,-,0,-,-,-
"Buckshot CDP, Arizona",27,1.8,13,-,-,46.7
"Buckeye city, Arizona",62090,3.58,15507,31.5,61469,9.2
"North Fork CDP, Arizona",1634,4.48,611,20.4,48333,28.1
"Hondah CDP, Arizona",991,4.48,298,25.2,38882,27.8
"Elephant Head CDP, Arizona",735,3.03,214,31,51289,11.4
"Ak Chin CDP, Arizona",33,4.83,22,N,-,0
"Ali Chuk CDP, Arizona",120,4.89,73,N,-,27.8
"Clay Springs CDP, Arizona",392,4.53,22,N,-,23.7
"Pinedale CDP, Arizona",320,2.73,18,44.6,60526,0
"Linden CDP, Arizona",2856,3.27,26,18.3,60882,7.9
"Lake of the Woods CDP, Arizona",3975,2.93,456,29.8,34694,18.2
"Wagon Wheel CDP, Arizona",1259,2.59,79,22.4,51402,13.8
"White Mountain Lake CDP, Arizona",2476,3.03,307,29.2,33029,27.5
"Woodruff CDP, Arizona",126,1.91,0,N,-,0
